TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_binned,TransactionAmount_binned_encoded,Target
0.0033674794476316106,1689800.0,2.0,1548.0,0.0,0.8387096774193548,0.0,0.24482758620689654,0.0,0.33683185966818,37800.0,Low,0.0,0
0.09154771675491924,2927330.0,2.0,645.0,0.0,0.8064516129032258,0.0,0.45172413793103444,0.0,0.9180546275595326,69120.0,Low,0.0,0
0.030687160866595217,3136070.0,2.0,989.0,6.0,0.016129032258064557,12.0,0.1586206896551724,0.0,0.06863734931174438,14760.0,Low,0.0,1
0.04486076742094345,2032730.0,2.0,1419.0,6.0,0.12903225806451613,12.0,0.05172413793103449,0.0,0.569197956003802,58680.0,Low,0.0,0
0.02237438079847207,1577975.0,2.0,1204.0,0.0,0.0,12.0,0.5586206896551724,0.0,0.045737843102722775,4680.0,Low,0.0,0
0.19861554486139588,1515850.0,2.0,1118.0,0.0,0.5967741935483871,0.0,0.3793103448275862,0.0,0.06188385358620237,3240.0,Medium,1.0,0
0.046204837308935244,581490.0,2.0,946.0,6.0,0.04838709677419356,12.0,0.5620689655172414,0.0,0.09595919536134934,17640.0,Low,0.0,3
0.19028815533796847,5399905.0,2.0,946.0,0.0,0.12903225806451613,12.0,0.3896551724137931,0.0,0.005944850820811549,15480.0,Medium,1.0,2
0.04059724138131731,703255.0,2.0,903.0,6.0,0.0,12.0,0.4275862068965517,0.0,0.013355076448200345,81360.0,Low,0.0,3
0.11326954188313441,5849690.0,2.0,430.0,0.0,0.29032258064516125,4.0,0.4103448275862069,0.0,0.22614430312017286,127800.0,Low,0.0,2
0.11996067241248487,5881995.0,2.0,344.0,6.0,0.33870967741935487,4.0,0.7724137931034483,0.0,0.3366812890458528,117720.0,Low,0.0,2
0.01438057383782523,1026305.0,2.0,860.0,3.0,0.8548387096774193,8.0,0.09655172413793102,0.0,0.3797633083592239,65160.0,Low,0.0,3
0.020820908717785903,3675315.0,2.0,817.0,3.0,0.32258064516129037,0.0,0.2862068965517241,0.0,0.607992073532239,39600.0,Low,0.0,1
0.012646918475053209,2557065.0,2.0,43.0,6.0,0.33870967741935487,4.0,0.3793103448275862,0.0,0.5964801428269905,13680.0,Low,0.0,0
0.035374361110044855,1083460.0,2.0,1419.0,6.0,0.04838709677419356,12.0,0.296551724137931,0.0,0.12299132740103008,16560.0,Low,0.0,3
0.009754246324810003,1493485.0,2.0,1075.0,3.0,0.30645161290322587,4.0,0.29310344827586204,0.0,0.1737793360642184,120600.0,Low,0.0,3
0.030969610335810884,397600.0,2.0,817.0,6.0,0.4193548387096775,0.0,0.6448275862068966,0.0,0.11231022387969408,107280.0,Low,0.0,3
0.013613577434351654,4356205.0,2.0,473.0,3.0,0.14516129032258068,12.0,0.9413793103448276,0.0,0.08405336115304833,45720.0,Low,0.0,1
0.0143318756534777,556640.0,2.0,129.0,0.0,0.1774193548387097,0.0,0.8517241379310345,0.0,0.6535296039320443,12600.0,Low,0.0,3
0.2136754583708691,1254925.0,2.0,860.0,6.0,0.06451612903225812,12.0,0.4827586206896552,0.0,0.020014465534787865,31320.0,Medium,1.0,3
0.030314619756336623,4781140.0,2.0,1677.0,3.0,0.5,4.0,0.1206896551724138,0.0,0.3806929475140387,0.0,Low,0.0,2
0.018960638075710304,5442150.0,2.0,1075.0,3.0,0.12903225806451613,12.0,0.46551724137931033,0.0,0.05373220208190774,127440.0,Low,0.0,2
0.15803047802616543,1090915.0,2.0,1634.0,0.0,0.9193548387096775,8.0,0.4379310344827586,0.0,0.3209446424418253,104760.0,Medium,1.0,3
0.08165955042315354,400085.0,2.0,1204.0,6.0,0.5967741935483871,8.0,0.7103448275862069,0.0,0.061716478206919,24840.0,Low,0.0,3
0.079916155423512,3461605.0,2.0,1505.0,0.0,0.7258064516129032,8.0,0.3758620689655172,0.0,0.28382629527705666,24480.0,Low,0.0,1
0.008220253517862848,131705.0,2.0,1290.0,6.0,0.32258064516129037,0.0,0.031034482758620682,0.0,0.9486776000656059,115560.0,Low,0.0,3
0.013406610150874656,1699740.0,2.0,1720.0,0.0,0.016129032258064557,12.0,0.36896551724137927,0.0,0.009446962170475522,36000.0,Low,0.0,0
0.07403341475433053,3374630.0,2.0,903.0,3.0,0.14516129032258068,12.0,0.07931034482758621,0.0,0.05158119319151912,75600.0,Low,0.0,1
0.10592098586509234,4607190.0,2.0,258.0,3.0,0.903225806451613,8.0,0.27586206896551724,0.0,0.3073274117851088,103680.0,Low,0.0,1
0.0399885140769732,5862115.0,2.0,129.0,3.0,0.12903225806451613,12.0,0.22413793103448276,0.0,0.09464573555765579,90000.0,Low,0.0,2
0.12417550026776347,4644465.0,2.0,1204.0,6.0,0.016129032258064557,12.0,0.3275862068965517,0.0,0.04573918748327928,111960.0,Low,0.0,2
0.15258115119767696,5549005.0,2.0,430.0,6.0,0.12903225806451613,12.0,0.4413793103448276,0.0,0.011041397510476086,21960.0,Low,0.0,2
0.10331319809328218,882175.0,2.0,1247.0,6.0,0.532258064516129,4.0,0.8758620689655173,0.0,0.34164743082153753,129600.0,Low,0.0,3
0.020738121804395104,2567005.0,2.0,1763.0,3.0,0.7903225806451613,0.0,0.46551724137931033,0.0,0.9950869612562968,7920.0,Low,0.0,0
0.04120840359487879,4140010.0,2.0,1548.0,3.0,0.16129032258064518,12.0,0.4551724137931034,0.0,0.05496029372026398,55800.0,Low,0.0,1
0.025413147501757858,1498455.0,2.0,1247.0,0.0,0.7096774193548387,8.0,0.27586206896551724,0.0,0.29418609184539085,92880.0,Low,0.0,3
0.07711114000509434,3516275.0,2.0,989.0,3.0,0.11290322580645162,12.0,0.2517241379310345,0.0,0.08219408284341866,61920.0,Low,0.0,1
0.0940508034303822,2619190.0,2.0,688.0,3.0,0.4838709677419355,4.0,0.06206896551724138,0.0,0.3716782036924756,16560.0,Low,0.0,0
0.027224719959485926,4555005.0,2.0,774.0,3.0,0.08064516129032262,12.0,0.1413793103448276,0.0,0.055727935018021424,112680.0,Low,0.0,1
0.13836615118663334,4632040.0,2.0,688.0,0.0,0.4516129032258065,4.0,0.489655172413793,0.0,0.3628926767557946,129600.0,Low,0.0,2
0.08507085823669792,5196135.0,2.0,817.0,6.0,0.4838709677419355,4.0,0.7448275862068966,0.0,0.4403095032917158,38160.0,Low,0.0,2
0.001341634978774416,5111645.0,2.0,215.0,6.0,0.5161290322580645,0.0,0.393103448275862,0.0,0.9334619009272195,110880.0,Low,0.0,2
0.07259925322529581,1878660.0,2.0,688.0,3.0,0.6129032258064516,8.0,0.7413793103448276,0.0,0.1958426375671014,82440.0,Low,0.0,0
0.12681007204096478,1791685.0,2.0,0.0,3.0,0.11290322580645162,12.0,0.4068965517241379,0.0,0.12436662871032231,124560.0,Low,0.0,0
0.03245490495841051,3230500.0,2.0,43.0,0.0,0.4193548387096775,4.0,0.7241379310344828,0.0,0.25173727577412797,84600.0,Low,0.0,1
0.034807027262396144,228620.0,2.0,387.0,6.0,0.27419354838709675,4.0,0.43103448275862066,0.0,0.4217032763898542,65880.0,Low,0.0,3
